id,name,description,img_url,category,inventory,price
0,15mm Combo Wrench,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><div id=""tab-description"" class=""tab-content"">
<p class=""p1"">This wrench packs a 10mm open-ended, 15mm pedal wrench &amp; 14x15mm sockets for crank fixing bolts and axle nuts. It's constructed with CrMo steel and is the perfect wrench to keep your wheels and pedals on tight!</p>
<p class=""p1""> </p>
</div></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/15mm-icetoolz-combo-wrench_1.jpeg?v=1438626126,"15mm, Accessories, Essential, Essentials, Safety Gear, Tool, Tools, Tools and Maintenance, Wheelsets and Accessories, Wrench",0,11.95
1,4mm 5mm 6mm Y-Wrench,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This is arguably the best maintenance tool to carry as a rider. The 4mm, 5mm, 6mm Y-Wrench will tighten almost every single allen screw on your bike. It's a cycling must!</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/y-wrench.jpeg?v=1438626125,"Accessories, Essential, Essentials, Safety Gear, Tool, Tools, Tools and Maintenance, Wrench",24,199.95
2,Adjustable Stem,"This is a demonstration store. You can purchase products like this from 
Pure Fix Cycles.
SmartAss, an emergency fender that's there when you need it, gone when you don't.
Tired of sitting at the office with a wet ass all day just because it rained this morning? Do you live in a climate where a shower can come out of nowhere even though the sun was shining just a minute ago? Not ready to bike in a wet suit or burden your bike with fenders? Relax. It's finally here.
This updated version of the original Ass Saver now comes in a whopping 10 colors! It fits the Pure Fix drome &amp; comfort saddles perfectly, and also works with a wide range of other saddles!",https://cdn.shopify.com/s/files/1/0923/8062/products/black_silver_1200.jpeg?v=1438626124,"Adjustable, Alloy, Bars and Stems, Bars and Tape, Bars Tape Grips and Stems, Black, Parts, Stem, Stems",24,176.95
3,Ass Savers,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p><iframe src=""https://player.vimeo.com/video/28897914?byline=0&amp;portrait=0&amp;badge=0&amp;color=ffffff"" width=""339"" height=""191""></iframe></p>
<p><b>SmartAss, an emergency fender that's there when you need it, gone when you don't.</b></p>
<p>Tired of sitting at the office with a wet ass all day just because it rained this morning? Do you live in a climate where a shower can come out of nowhere even though the sun was shining just a minute ago? Not ready to bike in a wet suit or burden your bike with fenders? Relax. It's finally here.</p>
<p>This updated version of the original Ass Saver now comes in a whopping 10 colors! It fits the Pure Fix drome &amp; comfort saddles perfectly, and also works with a wide range of other saddles!</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0005_Ass_Saver_Black_FULL.jpeg?v=1438626119,"Accessories, Accessory, Black, Blue, Clear, Essential, Essentials, Fenders and Chain Guards, Green, Grey, Orange, Pink, Red, Saddles and Seatposts, Seat, Weather, Wheelsets and Accessories, White, Yellow",95,139.95
4,Bar Tape,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Pure Fix Bar tape for our <a href=""/products/bull-horn-bars"" title=""Bull Horns"">bull horn</a> and <a href=""/products/pure-fix-drop-bars"">drop</a> handlebars.  This tape is the highest quality and of course, the end caps are included.</p>
<p>We highly recommend having your bars wrapped professionally.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/SMT_2776_edit_1200.jpeg?v=1438626105,"Bars and Tape, Bars Tape Grips and Stems, Black, Blue, Brown, Celeste, Glow, Glow In The Dark, Glow Series, Gold, Green, Grips and Tape, Handlebar Tape, Orange, Parts, Pink, Purple, Red, Tape, White, Yellow",87,103.95
5,Freestyle Riser Bars,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>These 22.2mm Freestyle Riser bars will be perfect for your Freestyle fixie. They come in seven fresh colors: white, silver, black, blue, gold, green and red!</p>
<p>The Freestyle Riser bars fit perfectly in our <b><a href=""http://purefixcycles.com/products/fgfs-bmx-stem"">Freestyle Stem</a>.</b></p>
<p><span style=""color: #990000;""><b>Note: these bars will not fit your Pure Fix without a new <a href=""http://purefixcycles.com/products/fgfs-bmx-stem"">Freestyle stem</a>. </b></span></p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/bmx_bars.jpeg?v=1438626091,"Bars, Bars and Stems, Bars and Tape, Bars Tape Grips and Stems, FGFS, FGFS Accessories, FGFS Series, Handle Bars, Handlebars, Parts",38,82.95
6,Brake Kit,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Our Tektro brakes come as a full, dual-pivot, forged alloy set, which includes a brake, caliper, lever, cable, housing, and brake pads. These brakes also come in two awesome colors: alloy and black.</p>
<p>All of our standard fixies ship with a front brake but if you want that extra safety in the back, be sure to grab a rear brake as well!</p>
<meta charset=""utf-8"">
<ul class=""listtype-bullet listindent1 list-bullet1"">
<li>
<span class=""author-p-121029"">Brake reach: </span><span class=""author-p-142672"">41mm-57mm </span>
</li>
</ul></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/Tektro_Brake-Kit_Black_Front_WEB.jpeg?v=1438626087,"Alloy, Black, Brake Parts, Brakes, Essential, Essentials, Parts, Safety Gear",51,42.95
7,Brake Pad,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Our Pure Fix 50mm brake pads are designed to work with any standard road caliper brake, including all Pure Fix brake sets. </p>
<p>List of Specs:</p>
<ul>
<li>Threaded</li>
<li>Screw attachment</li>
<li>Tough and durable material</li>
<li>50mm</li>
<li>Fits all standard road caliper brakes</li>
<li>Sold in pairs</li>
<li>Available in white or black</li>
</ul></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/brake-pad-all-web.jpeg?v=1438626083,"Black, Brake Pad, Brake Pads, Brakes, Parts, Safety Gear, White",82,3.95
8,Bull Horn Bars,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>These 42cm alloy bull horn handlebars are a thing of beauty. Designed by Pure Fix Cycles in California.</p>
<div class=""tertiary"">List of Specs:
<ul>
<li>17"" Wide</li>
<li>2.5"" High</li>
<li>These bars have an ISO standard 25.4mm stem clamp diameter and 22.2mm brake clamp diameter</li>
</ul>
</div></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/all-bullhorns-centered.jpeg?v=1438626079,"Alloy, Bars, Bars and Stems, Bars and Tape, Bars Tape Grips and Stems, Black, Gold, Handlebars, Parts, White",80,191.95
9,Chain Tensioners,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>These heavy-duty, light-weight chain tensioners are available in black and silver.  Sold as a pair, our Pure Fix tensioners fit all of our awesome standard fixies.<br> <br> List of Specs:</p>
<ul>
<li>Screw attachment</li>
<li>20mm extension</li>
<li>Fits all standard drop-outs</li>
<li>Available in black or silver</li>
<li>Sold in pairs</li>
</ul></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/screw-both.jpeg?v=1438626073,"Alloy, Black, Drivetrain, Parts",61,62.95
